@relation 'custom dataset-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-# of doors' {'\'(-inf-3.5]\'','\'(3.5-4.181818]\'','\'(4.181818-4.681818]\'','\'(4.681818-inf)\''}
@attribute unfiltered-drive {diesel,gasoline,lpg}
@attribute unfiltered-drive-diesel {true,false}
@attribute unfiltered-drive-gasoline {true,false}
@attribute unfiltered-drive-lpg {true,false}
@attribute 'unfiltered-engine volume' numeric
@attribute buy {true,false}

@data
'\'(-inf-3.5]\'',diesel,false,false,false,2.2,true
'\'(4.681818-inf)\'',gasoline,false,false,false,1.6,false
'\'(4.681818-inf)\'',lpg,false,false,false,1.4,true
'\'(-inf-3.5]\'',gasoline,false,false,false,2,true
'\'(4.681818-inf)\'',diesel,false,false,false,1.6,false
'\'(3.5-4.181818]\'',lpg,false,false,false,1.2,false
'\'(4.181818-4.681818]\'',diesel,false,false,false,2,true
'\'(4.681818-inf)\'',gasoline,false,false,false,1.6,false
'\'(4.681818-inf)\'',diesel,false,false,false,1.4,false
'\'(-inf-3.5]\'',gasoline,false,false,false,2,true
'\'(4.681818-inf)\'',diesel,false,false,false,1.654545,true
'\'(4.681818-inf)\'',lpg,false,false,false,1.2,true
